車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
khe120-8,,,,,,,,,,,,,,2019/12/13,tenzoku,郡山総合車両センター会津若松派出所に転属
209-3001,209-3002,209-3003,209-3004,,,,,,,,,,,2020/02/07,haisya,NNにて廃車。
e721-23,,,,,,,,,,,,,,2020/02/10,kaizo,快速あいづ用にトイレ側半室を指定席リクライニングシートを設置。
209-3009,209-3010,209-3011,209-3012,,,,,,,,,,,2020/03/05,haisya,NNにて廃車。
khe120-3,khe120-4,khe120-5,khe120-6,,,,,,,,,,,2020/03/14,tenzoku,郡山総合車両センター会津若松派出所に転属
kh40-583,kh40-584,kh40-2085,,,,,,,,,,,,2020/04/01,haisya,
209-3013,209-3014,209-3015,209-3016,,,,,,,,,,,2020/04/02,haisya,NNにて廃車。
e721-09,e721-10,,,,,,,,,,,,,2020/04/30,tenkai,空港線用にP-505編成として改造。
kh40-2021,kh40-2026,,,,,,,,,,,,,2020/05/18,joto,小湊鉄道に譲渡
kh40-502,kh40-526,kh40-534,,,,,,,,,,,,2020/07/01,haisya,
kh40-571,kh40-572,kh40-582,kh40-2086,kh40-2141,,,,,,,,,,2020/08/03,haisya,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
e531-170,,,,,,,,,,,,,,2021/04/08,other,3月に発生した踏切事故により編成から離脱。
e531-081,e531-082,e531-083,e531-084,e531-085,e531-086,e531-087,e531-088,e531-089,,,,,,2021/04/08,other,K417編成踏切事故に伴い、クハE531-9を抜いた。残り9両は運用離脱。
e531-090,,,,,,,,,,,,,,2021/04/08,kumikae,K417編成に組み込み。
e531-161,e531-162,e531-163,e531-164,e531-165,e531-166,e531-167,e531-168,e531-169,e531-090,,,,,2021/04/08,kumikae,クハE531-9を組み込み運用復帰。
kh40-2026,,,,,,,,,,,,,,2021/04/23,other,小湊鉄道にて営業運転開始
kh40-2016,kh40-2018,kh40-2019,,,,,,,,,,,,2021/07/19,joto,小湊鉄道に譲渡
e531-1051,e531-1052,e531-1053,e531-1054,,,,,,,,,,,2021/08/05,other,K409編成にクハE531-1011を貸し出し。残り4両は運用離脱。
e531-1055,,,,,,,,,,,,,,2021/08/05,kumikae,K409編成に組み込み。
e531-081,e531-082,e531-083,e531-084,e531-085,e531-086,e531-087,e531-088,e531-089,e531-1055,,,,,2021/08/05,kumikae,クハE531-1011を借りて運用復帰。
kh40-2021,,,,,,,,,,,,,,2021/10/09,other,小湊鉄道にて営業運転開始
hbe210-01,hbe210-02,,,,,,,,,,,,,2022/01/??,toso,マンガッタンライナー風ラッピング
hbe210-03,hbe210-04,,,,,,,,,,,,,2022/01/??,toso,マンガッタンライナー夢ラッピング
e531-170,,,,,,,,,,,,,,2022/02/09,haisya,復活することはなく解体。
kh40-535,,,,,,,,,,,,,,2022/02/18,joto,北条鉄道に譲渡
kh110-135,,,,,,,,,,,,,,2022/03/12,tenzoku,郡山総合車両センター会津若松派出所に転属
kh40-535,,,,,,,,,,,,,,2022/03/13,other,北条鉄道にて営業運転開始
